id,uuid,title,author,year,journal,volume,issue,url,publisher,discipline
phil/10.2307/40232064,08044771-2303-3bb9-a92a-d836e4b0ed91,"A Change in Manner: Hume's Scepticism in the ""Treatise"" and the first ""Enquiry""",Miriam McCormick,1999,Canadian Journal of Philosophy,29,3,jstor.org/stable/10.2307/40232064,Cambridge University Press,Philosophy
phil/10.2307/40231619,cd45bf42-b1b3-37b6-9f17-78653b268d2a,A Clinical Science,Richard W. Miller,1988,Canadian Journal of Philosophy,18,4,jstor.org/stable/10.2307/40231619,Cambridge University Press,Philosophy
phil/10.2307/40230415,3891bece-ade9-3897-9a7e-256e6b3ef15d,A Critique of Pure Anarchism,"Ken Witkowski, Tom L. Beauchamp",1973,Canadian Journal of Philosophy,2,4,jstor.org/stable/10.2307/40230415,Cambridge University Press,Philosophy
phil/10.2307/40231855,159605fc-d5da-393b-a10d-c9b9032da587,A Defense of Derangement,Paul M. Pietroski,1994,Canadian Journal of Philosophy,24,1,jstor.org/stable/10.2307/40231855,Cambridge University Press,Philosophy
phil/10.2307/40230376,78ac3ed2-4695-3b72-823d-4cbfae4a956c,A Defense of Pacifism,Tom Regan,1972,Canadian Journal of Philosophy,2,1,jstor.org/stable/10.2307/40230376,Cambridge University Press,Philosophy
phil/10.2307/40231944,aa23766a-d8ac-36c2-95c4-e0dd3e43abdc,A Defense of the Autonomy of Ethics: Why Value Is Not like Water,Eric H. Gampel,1996,Canadian Journal of Philosophy,26,2,jstor.org/stable/10.2307/40231944,Cambridge University Press,Philosophy
phil/10.2307/40231172,71738299-d46b-3a1d-b41b-63559000ae6f,A Defense of the Traditional Position concerning Aristotle's Non-Substantial Particulars,Herbert Granger,1980,Canadian Journal of Philosophy,10,4,jstor.org/stable/10.2307/40231172,Cambridge University Press,Philosophy
phil/10.2307/40231808,d12b433d-78fa-3df6-a724-8af5940e1e20,A Dilemma for Causal Reliabilist Theories of Knowledge,"Steven Savitt, Morris Lipson",1993,Canadian Journal of Philosophy,23,1,jstor.org/stable/10.2307/40231808,Cambridge University Press,Philosophy
phil/10.2307/40230757,50e3c604-f15f-38b9-b6d8-34ecf7780a48,"A Few Words about Knowledge, Scepticism, and Entailment",Charles B. Daniels,1978,Canadian Journal of Philosophy,8,2,jstor.org/stable/10.2307/40230757,Cambridge University Press,Philosophy
phil/10.2307/40231111,00e7050c-ad4b-3cd2-8635-68712a57afd1,A Goal-State Theory of Function Attributions,Frederick R. Adams,1979,Canadian Journal of Philosophy,9,3,jstor.org/stable/10.2307/40231111,Cambridge University Press,Philosophy
phil/10.2307/40231712,6c913891-93d0-3de5-8187-9839df4b40ed,A Great Philosopher's Not so Great Account of Great Virtue: Aristotle's Treatment of 'Greatness of Soul',Howard J. Curzer,1990,Canadian Journal of Philosophy,20,4,jstor.org/stable/10.2307/40231712,Cambridge University Press,Philosophy
phil/10.2307/26452160,73eb5877-b67a-3d7d-b34e-48b06a08bb30,A Humean theory of moral intuition,Antti Kauppinen,2013,Canadian Journal of Philosophy,43,3,jstor.org/stable/10.2307/26452160,Cambridge University Press,Philosophy
phil/10.2307/40231313,3895b909-9740-3148-baf9-deacc4f7f949,A Legacy of Ethical Atomism,P. J. Benson,1983,Canadian Journal of Philosophy,13,2,jstor.org/stable/10.2307/40231313,Cambridge University Press,Philosophy
phil/10.2307/40231550,6cc82271-0552-344b-8b97-4798a4f0a09c,A Liberal Theory of the Good?,Patrick Neal,1987,Canadian Journal of Philosophy,17,3,jstor.org/stable/10.2307/40231550,Cambridge University Press,Philosophy
phil/10.2307/27822036,7fa5c658-3d28-3716-92f3-c5fc98f092a8,A Model for Thought Experiments,SÖREN HÄGGQVIST,2009,Canadian Journal of Philosophy,39,1,jstor.org/stable/10.2307/27822036,Cambridge University Press,Philosophy
phil/10.2307/40231522,1b6e745f-f9d7-3e4c-bf31-0ed23ea1acf1,A Non-Test for Ambiguity,"Arnold M. Zwicky, Jerrold M. Sadock",1987,Canadian Journal of Philosophy,17,1,jstor.org/stable/10.2307/40231522,Cambridge University Press,Philosophy
phil/10.2307/40231477,c251a26e-5395-370a-84dd-39c84513810f,A Note on Aristotle's Principle of Non-Contradiction,Montgomery Furth,1986,Canadian Journal of Philosophy,16,3,jstor.org/stable/10.2307/40231477,Cambridge University Press,Philosophy
phil/10.2307/40231291,f102cc48-684c-32d5-8ddc-21f00b63576a,A Note on Interpretation,Jonathan Bennett,1982,Canadian Journal of Philosophy,12,4,jstor.org/stable/10.2307/40231291,Cambridge University Press,Philosophy
phil/10.2307/40230561,745dffed-8f02-32e3-a518-5bcc73950575,A Note on Knowledge and Belief,John A. Barker,1975,Canadian Journal of Philosophy,5,1,jstor.org/stable/10.2307/40230561,Cambridge University Press,Philosophy
phil/10.2307/40231946,5122a18d-a799-3142-93f5-c8cc633aa256,A Philosopher in His Closet: Reflexivity and Justification in Hume's Moral Theory,Michael B. Gill,1996,Canadian Journal of Philosophy,26,2,jstor.org/stable/10.2307/40231946,Cambridge University Press,Philosophy
phil/10.2307/40231275,6446f4fe-13e8-31f3-8c1e-943ae44f60d9,A Plea for a New Nominalism,E. M. Zemach,1982,Canadian Journal of Philosophy,12,3,jstor.org/stable/10.2307/40231275,Cambridge University Press,Philosophy
phil/10.2307/40232188,75b86f39-6847-351c-b9ad-dbcd4ccbf153,A Puzzle about Persistence,"Lee Wentz, John W. Carroll",2003,Canadian Journal of Philosophy,33,3,jstor.org/stable/10.2307/40232188,Cambridge University Press,Philosophy
phil/10.2307/40230760,41865ab5-c6b5-3624-abb2-0e09434acde5,A Question about Sensations,David J. Crossley,1978,Canadian Journal of Philosophy,8,2,jstor.org/stable/10.2307/40230760,Cambridge University Press,Philosophy
phil/10.2307/40231310,1d2be98a-ad95-37ea-a2c0-680946103d72,A Refutation of Utilitarianism,Tom Regan,1983,Canadian Journal of Philosophy,13,2,jstor.org/stable/10.2307/40231310,Cambridge University Press,Philosophy
phil/10.2307/40231229,a836ccc7-d52c-364b-88e1-bf0f70d1d8fa,A Rejoinder on Actions and De Re Belief,"Ernest Sosa, Mark Pastin",1981,Canadian Journal of Philosophy,11,4,jstor.org/stable/10.2307/40231229,Cambridge University Press,Philosophy
phil/10.2307/40231625,fb8fe226-0ce7-3daa-adf5-a0eecef3060e,A Reply to Bickenbach,R. Antony Duff,1988,Canadian Journal of Philosophy,18,4,jstor.org/stable/10.2307/40231625,Cambridge University Press,Philosophy
phil/10.2307/40230373,f41f9ee1-5efe-3a60-9c3f-9e23c2ced59d,"A Reply to Flew's ""The Presumption of Atheism""",Donald Evans,1972,Canadian Journal of Philosophy,2,1,jstor.org/stable/10.2307/40230373,Cambridge University Press,Philosophy
phil/10.2307/40231376,0aadfa81-deb2-3e88-ac4c-c544523a86ee,A Reply to Professor Schweickart,Robert Paul Wolff,1984,Canadian Journal of Philosophy,14,3,jstor.org/stable/10.2307/40231376,Cambridge University Press,Philosophy
phil/10.2307/41302107,b0a9a245-35c7-3f8b-a0e3-30d9775bc49c,A Representational Account of Olfactory Experience,CLARE BATTY,2010,Canadian Journal of Philosophy,40,4,jstor.org/stable/10.2307/41302107,Cambridge University Press,Philosophy
phil/10.2307/40231799,6254e92e-f9c7-3b3c-80b6-5f6ccf7384ec,A Riddle regarding Omissions,Ishtiyaque Haji,1992,Canadian Journal of Philosophy,22,4,jstor.org/stable/10.2307/40231799,Cambridge University Press,Philosophy
phil/10.2307/40230652,63bed935-f774-3d4b-b6cd-15481de3ae08,A Right to Equality? Re-Examining the Case for a Right to Equality,H. J. McCloskey,1976,Canadian Journal of Philosophy,6,4,jstor.org/stable/10.2307/40230652,Cambridge University Press,Philosophy
phil/10.2307/40230354,532b51a5-125d-3b77-ac41-ffeae8fb51c8,A Scrutiny of Reference,Graham Nerlich,1972,Canadian Journal of Philosophy,1,3,jstor.org/stable/10.2307/40230354,Cambridge University Press,Philosophy
phil/10.2307/40231748,b9e68148-d825-396a-bc28-393c243db7d8,A Semantics for Pictures,Gary Malinas,1991,Canadian Journal of Philosophy,21,3,jstor.org/stable/10.2307/40231748,Cambridge University Press,Philosophy
phil/10.2307/40230390,a728b950-1b1a-33a3-8dc2-9e23ba932367,A Short Refutation of Ethical Egoism,Richmond Campbell,1972,Canadian Journal of Philosophy,2,2,jstor.org/stable/10.2307/40230390,Cambridge University Press,Philosophy
phil/10.2307/40232120,dd67fa0f-2b86-3fcf-9c03-d8e9c0cd65bf,A Skeptic's Reply to Lewisian Contextualism,I. T. Oakley,2001,Canadian Journal of Philosophy,31,3,jstor.org/stable/10.2307/40232120,Cambridge University Press,Philosophy
phil/10.2307/40230679,6d1551e0-3401-3f55-9ce5-ea440059b2ef,A Solution to the Predictor Paradox,Michael F. Stack,1977,Canadian Journal of Philosophy,7,1,jstor.org/stable/10.2307/40230679,Cambridge University Press,Philosophy
phil/10.2307/40231963,83bbc02c-53fd-3ce1-8560-a3a4bca1a69e,A Taxonomy of Functions,"Denis M. Walsh, André Ariew",1996,Canadian Journal of Philosophy,26,4,jstor.org/stable/10.2307/40231963,Cambridge University Press,Philosophy
phil/10.2307/40232271,4311dc39-6c23-3e21-88fa-59d8a0857987,A Theory of Presentism,Craig Bourne,2006,Canadian Journal of Philosophy,36,1,jstor.org/stable/10.2307/40232271,Cambridge University Press,Philosophy
phil/10.2307/26444364,d0824028-77d4-3938-a6a8-9627ef44153a,A critique of Vihvelin's Three-fold Classification,Kristin Mickelson,2015,Canadian Journal of Philosophy,45,1,jstor.org/stable/10.2307/26444364,Cambridge University Press,Philosophy
phil/10.2307/26445263,529b515d-0096-3d3a-a856-78aea719630a,A defence of anti-criterialism,Simon Langford,2017,Canadian Journal of Philosophy,47,5,jstor.org/stable/10.2307/26445263,Cambridge University Press,Philosophy
phil/10.2307/26444405,8e43a638-f851-3ea1-a3da-c7a05c51e898,A defense of objectivism about evidential support,Brian Hedden,2015,Canadian Journal of Philosophy,45,5/6,jstor.org/stable/10.2307/26444405,Cambridge University Press,Philosophy
phil/10.2307/48547314,27af55f7-205a-3a3d-8fc2-05ff63aa957d,A gradual reformation,Jonas Jervell Indregard,2018,Canadian Journal of Philosophy,48,5,jstor.org/stable/10.2307/48547314,Cambridge University Press,Philosophy
phil/10.2307/48547359,a3c70ed6-f9a2-383c-951d-bfcecc17c5cc,A metaphysics for practical knowledge,Kim Frost,2019,Canadian Journal of Philosophy,49,3,jstor.org/stable/10.2307/48547359,Cambridge University Press,Philosophy
phil/10.2307/26445091,f7c806ae-5d3e-3683-8e67-3340ee71cee5,A new moral sentimentalism,Eric Vogelstein,2016,Canadian Journal of Philosophy,46,3,jstor.org/stable/10.2307/26445091,Cambridge University Press,Philosophy
phil/10.2307/48547356,4c0f6563-c616-3f91-84e2-51a299217712,A new puzzle about belief and credence,Andrew Moon,2019,Canadian Journal of Philosophy,49,2,jstor.org/stable/10.2307/48547356,Cambridge University Press,Philosophy
phil/10.2307/26445237,b0cbde3f-c391-3e0b-89f4-3f3cb0fe2148,A portable defense of the Procreation Asymmetry,Jake Earl,2017,Canadian Journal of Philosophy,47,2/3,jstor.org/stable/10.2307/26445237,Cambridge University Press,Philosophy
phil/10.2307/48547329,9efde4df-a029-3c1d-9f63-832432e10593,A relational account of intellectual autonomy,Benjamin Elzinga,2019,Canadian Journal of Philosophy,49,1,jstor.org/stable/10.2307/48547329,Cambridge University Press,Philosophy
phil/10.2307/48547713,117b9ab0-730c-32af-abdb-d17f8f405190,A semantic challenge to non-realist cognitivism,David Copp,2018,Canadian Journal of Philosophy,48,3,jstor.org/stable/10.2307/48547713,Cambridge University Press,Philosophy
phil/10.2307/26444808,475b7e9e-8d36-3c30-9ead-e76832f5ec7e,A theory-based epistemology of modality,Bob Fischer,2016,Canadian Journal of Philosophy,46,2,jstor.org/stable/10.2307/26444808,Cambridge University Press,Philosophy
phil/10.2307/40230442,1bc2f513-970e-3b79-829c-fe68008c74d3,A. J. Ayer on the Argument from Illusion,P. L. McKee,1973,Canadian Journal of Philosophy,3,2,jstor.org/stable/10.2307/40230442,Cambridge University Press,Philosophy
phil/10.2307/40232337,6ba4469a-da24-31a3-8136-8fb45d4b15ca,Abortion and Kant's Formula of Universal Law,Lara Denis,2007,Canadian Journal of Philosophy,37,4,jstor.org/stable/10.2307/40232337,Cambridge University Press,Philosophy
phil/10.2307/40230568,fedaa0ae-7874-3acb-ab16-1e12cfb47d86,Abortion and the Concept of a Person,Jane English,1975,Canadian Journal of Philosophy,5,2,jstor.org/stable/10.2307/40230568,Cambridge University Press,Philosophy
phil/10.2307/40231763,afcdc68e-2115-3c94-842f-a154c8d868bf,Abortion and the Morality of Nurturance,Paul Gomberg,1991,Canadian Journal of Philosophy,21,4,jstor.org/stable/10.2307/40231763,Cambridge University Press,Philosophy
phil/10.2307/40231289,ccc7d4f0-8e77-3d1f-9a28-7dabe689e5b3,Absolute Space: Did Newton Take Leave of His (Classical) Empirical Senses?,L. A. Whitt,1982,Canadian Journal of Philosophy,12,4,jstor.org/stable/10.2307/40231289,Cambridge University Press,Philosophy
phil/10.2307/40231900,4fdec852-2416-3630-93ad-7c1e48900cc2,Abstraction and the Real Distinction between Mind and Body,Bruce M. Thomas,1995,Canadian Journal of Philosophy,25,1,jstor.org/stable/10.2307/40231900,Cambridge University Press,Philosophy
phil/10.2307/40230424,8f851f90-a5f3-3462-aedb-a130d0b88592,Achinstein on Semantic Relevance,Michael Martin,1973,Canadian Journal of Philosophy,3,1,jstor.org/stable/10.2307/40230424,Cambridge University Press,Philosophy
phil/10.2307/40230567,3531575a-4e0b-394d-a5c4-6fbe9022f7fc,"Acrasia, Human Agency and Normative Psychology",Michael Kubara,1975,Canadian Journal of Philosophy,5,2,jstor.org/stable/10.2307/40230567,Cambridge University Press,Philosophy
phil/10.2307/40230466,aaccce97-a435-3716-9de0-ea4811b16d36,Acting under Duress,Brenda Baker,1974,Canadian Journal of Philosophy,3,4,jstor.org/stable/10.2307/40230466,Cambridge University Press,Philosophy
phil/10.2307/26444400,ad19e462-0de6-35de-aee7-fc1b2eff6355,"Action as a form of temporal unity: on Anscombe's ""Intention""",Douglas Lavin,2015,Canadian Journal of Philosophy,45,5/6,jstor.org/stable/10.2307/26444400,Cambridge University Press,Philosophy
phil/10.2307/48547333,188d3672-2e54-3151-85d5-841a26bd5dc7,Action explanation and its presuppositions,Lilian O’Brien,2019,Canadian Journal of Philosophy,49,1,jstor.org/stable/10.2307/48547333,Cambridge University Press,Philosophy
phil/10.2307/40231059,33c376b3-d08a-3a89-9f2c-4592a6d98084,Actions and De Re Beliefs,Richard H. Feldman,1978,Canadian Journal of Philosophy,8,3,jstor.org/stable/10.2307/40231059,Cambridge University Press,Philosophy
phil/10.2307/40231393,3a2ea03a-c841-32a4-b48a-9b0109a12f5a,Actions and De Re Beliefs,Thomas McKay,1984,Canadian Journal of Philosophy,14,4,jstor.org/stable/10.2307/40231393,Cambridge University Press,Philosophy
phil/10.2307/26444373,1883f1f7-2964-3905-8c25-90a1632f861e,Actions and accidents,David Horst,2015,Canadian Journal of Philosophy,45,3,jstor.org/stable/10.2307/26444373,Cambridge University Press,Philosophy
phil/10.2307/26452620,b37707ea-6a86-3da9-bd26-f9f1cfe9dd16,"Acts, ideas, and objects in Berkeley's metaphysics",Melissa Frankel,2013,Canadian Journal of Philosophy,43,4,jstor.org/stable/10.2307/26452620,Cambridge University Press,Philosophy
phil/10.2307/26444382,656204b0-a93a-3eda-971e-3aef0f991977,Adaptive preferences: merging political accounts and well-being accounts,Rosa Terlazzo,2015,Canadian Journal of Philosophy,45,2,jstor.org/stable/10.2307/26444382,Cambridge University Press,Philosophy
phil/10.2307/40231379,6955e901-6626-3d93-aade-0548d9b3e372,Adhering to Inherence: A New Look at the Old Steps in Berkeley's March to Idealism,Alan Hausman,1984,Canadian Journal of Philosophy,14,3,jstor.org/stable/10.2307/40231379,Cambridge University Press,Philosophy
phil/10.2307/40231785,6903344a-9d95-3c91-9fbb-fe2f2252d20a,"Adverbs, Identity, and Multiple Personalities",J. J. MacIntosh,1992,Canadian Journal of Philosophy,22,3,jstor.org/stable/10.2307/40231785,Cambridge University Press,Philosophy
phil/10.2307/40232254,98c5df1a-f635-3c45-b7de-68d36d28edb6,Advising as Inviting to Trust,Edward S. Hinchman,2005,Canadian Journal of Philosophy,35,3,jstor.org/stable/10.2307/40232254,Cambridge University Press,Philosophy
phil/10.2307/27822077,201d373e-5eec-323a-94cb-221cb17f8309,Against A Posteriori Functionalism,MARC A. MOFFETT,2010,Canadian Journal of Philosophy,40,1,jstor.org/stable/10.2307/27822077,Cambridge University Press,Philosophy
phil/10.2307/26445205,253d4804-3989-3e90-8a24-16b612a68f22,Against the new Cartesian Circle,"Everett Fulmer, C.P. Ragland",2017,Canadian Journal of Philosophy,47,1,jstor.org/stable/10.2307/26445205,Cambridge University Press,Philosophy
phil/10.2307/41445481,7af8855b-3e39-34ae-8369-c2e970f5854d,Agency without Avoidability: Defusing a New Threat to Frankfurt's Counterexample Strategy,SETH SHABO,2011,Canadian Journal of Philosophy,41,4,jstor.org/stable/10.2307/41445481,Cambridge University Press,Philosophy
phil/10.2307/26445265,7a91b885-5af0-3eca-ae99-68a892da0550,Agent causation as a solution to the problem of action,Michael Brent,2017,Canadian Journal of Philosophy,47,5,jstor.org/stable/10.2307/26445265,Cambridge University Press,Philosophy
phil/10.2307/25763347,45e13466-79f0-3ee3-bede-ccde3324a468,Agnosticism about Moral Responsibility,JEREMY BYRD,2010,Canadian Journal of Philosophy,40,3,jstor.org/stable/10.2307/25763347,Cambridge University Press,Philosophy
phil/10.2307/40231180,11e8391e-0c02-3da0-a8ce-99eb086de3d1,Agony in the Schools,James Bogen,1981,Canadian Journal of Philosophy,11,1,jstor.org/stable/10.2307/40231180,Cambridge University Press,Philosophy
phil/10.2307/48547399,80c30924-c5f0-3d78-a73f-ed5d3b75c984,Aiding self-knowledge,Casey Doyle,2019,Canadian Journal of Philosophy,49,8,jstor.org/stable/10.2307/48547399,Cambridge University Press,Philosophy
phil/10.2307/40227030,32045e98-2b84-32fa-9caa-66e1233cbe8e,Aiming and Intending,Ann Bumpus,2000,Canadian Journal of Philosophy,30,4,jstor.org/stable/10.2307/40227030,Cambridge University Press,Philosophy
phil/10.2307/26444383,12de3584-9860-31ba-804e-63b778368231,Aiming at the good,Amir Saemi,2015,Canadian Journal of Philosophy,45,2,jstor.org/stable/10.2307/26444383,Cambridge University Press,Philosophy
phil/10.2307/40230669,57bd1e78-8848-31f0-b063-fc713d148f68,Alain et sa philosophie de la religion,Jean Theau,1977,Canadian Journal of Philosophy,7,1,jstor.org/stable/10.2307/40230669,Cambridge University Press,Philosophy
phil/10.2307/40232061,fb07cde2-f9cd-31aa-9235-805a276413e4,Alienation and Externality,"Nomy Arpaly, Timothy Schroeder",1999,Canadian Journal of Philosophy,29,3,jstor.org/stable/10.2307/40232061,Cambridge University Press,Philosophy
phil/10.2307/40231773,41e7d995-5f1d-39a1-a255-2f9a3b2f6fa4,Alston on Iterative Foundationalism and Cartesian Epistemology,Stephen Jacobson,1992,Canadian Journal of Philosophy,22,1,jstor.org/stable/10.2307/40231773,Cambridge University Press,Philosophy
phil/10.2307/40230409,ccb5b069-07d5-32c9-bef6-2fc63979b1a1,Alternative Strategies for the Analysis of Knowledge,Joseph Margolis,1973,Canadian Journal of Philosophy,2,4,jstor.org/stable/10.2307/40230409,Cambridge University Press,Philosophy
phil/10.2307/40231370,034a12bf-e210-3241-8f14-5b7f5c28485f,Ambiguity vs. Generality: Removal of a Logical Confusion,Lawrence Roberts,1984,Canadian Journal of Philosophy,14,2,jstor.org/stable/10.2307/40231370,Cambridge University Press,Philosophy
phil/10.2307/26445227,07e7ee01-465a-3744-bda1-6d5b54354694,An A-theory without tense operators,Meghan Sullivan,2016,Canadian Journal of Philosophy,46,4/5,jstor.org/stable/10.2307/26445227,Cambridge University Press,Philosophy
phil/10.2307/40230634,7a685151-1e8e-31d8-bd04-9133f3b7834f,An Analysis of Certainty,Evan Simpson,1976,Canadian Journal of Philosophy,6,3,jstor.org/stable/10.2307/40230634,Cambridge University Press,Philosophy
phil/10.2307/41302108,a3bc3e77-0d42-38ac-a4cd-8abd5f6e4797,An Argument Against Cloning,"HARRY BRIGHOUSE, JAIME AHLBERG",2010,Canadian Journal of Philosophy,40,4,jstor.org/stable/10.2307/41302108,Cambridge University Press,Philosophy
phil/10.2307/40231194,06f3274a-d297-3609-ae19-1aa56a468edd,An Argument for Utilitarianism,"Peter Singer, Yew-Kwang Ng",1981,Canadian Journal of Philosophy,11,2,jstor.org/stable/10.2307/40231194,Cambridge University Press,Philosophy
phil/10.2307/40232014,489ea1bb-bedf-3699-844c-368def41fa54,An Asymmetry concerning Virtue and Vice,James A. Montmarquet,1998,Canadian Journal of Philosophy,28,2,jstor.org/stable/10.2307/40232014,Cambridge University Press,Philosophy
phil/10.2307/40231328,f3b4aef4-4f9e-3e2a-a516-f8de764cdaf5,An Epistemic Criterion of the Mental,Arnold B. Levison,1983,Canadian Journal of Philosophy,13,3,jstor.org/stable/10.2307/40231328,Cambridge University Press,Philosophy
phil/10.2307/40231884,4caf2179-6aa3-386d-b846-09517eef6cd3,An Evolutionary Argument against Naturalism?,Timothy O'Connor,1994,Canadian Journal of Philosophy,24,4,jstor.org/stable/10.2307/40231884,Cambridge University Press,Philosophy
phil/10.2307/40230431,fda04fdb-f329-39ce-a923-d7ae793cfee9,"An Incoherence in the ""Tractatus""",Carl Ginet,1973,Canadian Journal of Philosophy,3,2,jstor.org/stable/10.2307/40230431,Cambridge University Press,Philosophy
phil/10.2307/40231213,3136de58-7b9a-3344-bf0e-35076478d3a1,An Intentional Fallacy in Epistemology,Alan R. White,1981,Canadian Journal of Philosophy,11,3,jstor.org/stable/10.2307/40231213,Cambridge University Press,Philosophy
phil/10.2307/40231228,41da9d2b-f9b2-3390-80e1-39a693a51e36,An Objection to the Revision of the Logical Connection Argument,Jig-Chen Lee,1981,Canadian Journal of Philosophy,11,4,jstor.org/stable/10.2307/40231228,Cambridge University Press,Philosophy
phil/10.2307/26445274,6ae93023-a628-349a-bdb4-840e2d53ff8e,An agentive non-intentionalist theory of self-deception,Kevin Lynch,2017,Canadian Journal of Philosophy,47,6,jstor.org/stable/10.2307/26445274,Cambridge University Press,Philosophy
phil/10.2307/26452140,3bbc8244-e450-3b6f-8f85-de506e6b1422,An empirically-informed cognitive theory of propositions,Berit Brogaard,2013,Canadian Journal of Philosophy,43,5/6,jstor.org/stable/10.2307/26452140,Cambridge University Press,Philosophy
phil/10.2307/48547306,e8d82f2c-b13b-31d5-982a-1504980e4fc0,An epistemology for practical knowledge,Lucy Campbell,2018,Canadian Journal of Philosophy,48,2,jstor.org/stable/10.2307/48547306,Cambridge University Press,Philosophy
phil/10.2307/40232356,d0fe5499-1f24-3808-ad68-e912b9ffdf1e,"Analysis, Schmanalysis",Stephen Petersen,2008,Canadian Journal of Philosophy,38,2,jstor.org/stable/10.2307/40232356,Cambridge University Press,Philosophy
phil/10.2307/40231269,e92c87d2-67b4-3059-ae2e-fa6c6b96bd19,Analyticity by Way of Presumption,"Edna Ullmann-Marcalit, Avishai Margalit",1982,Canadian Journal of Philosophy,12,3,jstor.org/stable/10.2307/40231269,Cambridge University Press,Philosophy
phil/10.2307/26445117,d047ab4b-ba4e-336f-a14c-badd52d78471,Anger and the virtues: a critical study in virtue individuation,Ryan West,2016,Canadian Journal of Philosophy,46,6,jstor.org/stable/10.2307/26445117,Cambridge University Press,Philosophy
phil/10.2307/40231060,b7033ca8-3646-3be5-a60c-de3691291c90,Anglin on the Obligation to Create Extra People,Peter Singer,1978,Canadian Journal of Philosophy,8,3,jstor.org/stable/10.2307/40231060,Cambridge University Press,Philosophy
phil/10.2307/40230681,ccb086cf-4164-3ad6-b03c-d089bc2f8f34,Animal Rights,Jan Narveson,1977,Canadian Journal of Philosophy,7,1,jstor.org/stable/10.2307/40230681,Cambridge University Press,Philosophy
phil/10.2307/40231160,ee409e40-e089-3b35-acd8-b8dcc848a265,Animal Suffering,Donald Vandeveer,1980,Canadian Journal of Philosophy,10,3,jstor.org/stable/10.2307/40231160,Cambridge University Press,Philosophy
phil/10.2307/48547328,46cf6fd3-dc66-331e-b003-e6f6a88dc717,Animal confinement and use,"Robert Streiffer, David Killoren",2019,Canadian Journal of Philosophy,49,1,jstor.org/stable/10.2307/48547328,Cambridge University Press,Philosophy
