feature,weight,feat_desc,result_desc,fpk1,fpk2,odds_ratio,sum1,sum2,sig,top1,top2,egs1,egs2,feat_type,feat_name
deprel_compound:prt,0.20580166195268818,Phrasal verb particle,Phrasal verb particles are 1.1x more common in Literature than Philosophy.,1.9,2.1,0.9,4693.0,1672.0,***,out up on down off in aside over away about through like together forward back forth behind apart to n into upon alone j moot,out up on down off in over away aside together through about back like forth behind ing inside alone apart anew forward bare withme,"""recently worked OUT"" ""that make it UP we need at least"" ""phenomena by drawing ON methodological"" ""principle be narrowed DOWN, even to a single"" ""require me to cut OFF one of my legs""","""only to point OUT that we should"" ""literature showed UP in such curricula"" ""keeping them ON to teach multiple"" ""for me to sit DOWN at the keyboard"" ""one, killing OFF the dead all over""",deprel,compound:prt
pos_SYM,0.17406920887349686,Symbol,Symbols are 4.2x more common in Philosophy than Literature.,0.6,0.1,4.2,1415.0,109.0,***,= / + { ̄ -> \ => ^ // /( /- |= ~ ^( := -+ /\ x //+( +( \( ψ+ -w >(,/ + – = _. ^ .is .e,"""predicates, £ = { E, F,. Individual"" ""of sentences < / >v that are verifiable"" ""p (E) + p(F), lj"" ""predicates, £ = { E, F,. Individual"" ""Suppose Δ ̄ sL ψ ̄ and ψ ̄ / Δ ̄""","""first body [we / they] have any"" ""human], [+ concrete],"" ""Hichens (November – July), Dictionary"" ""classification as English = Little People"" ""n It M. rF _. C,""",pos,SYM
deprel_obj,0.14317145543093213,Object,Objects are 1.0x more common in Philosophy than Literature.,41.4,40.2,1.0,104024.0,32325.0,***,that it what us them this how reason belief knowledge something role account one which beliefs view problem sense properties why theory question me argument,it that them what him us which itself sense how himself way me place her attention themselves something one world role work form history life,"""ugly carnations THAT she hates for their"" ""way, and call IT a day"" ""currently unsure WHAT to say about some"" ""Furthermore, let US denote by c, fi"" ""or rendered THEM at best random""","""at both marked IT as anti-professional"" ""exactly the story THAT the literary works"" ""graduates, keeping THEM on to teach multiple"" ""perfectly clear WHAT such an interconnection"" ""characterizes HIM) third - person""",deprel,obj
deprel_discourse,0.1389714248977811,Discourse element,Discourse elements are 1.8x more common in Philosophy than Literature.,1.3,0.7,1.8,3203.0,558.0,***,so ii a i say b iii no like well p yes v viz o k h c iv y ̄ n hi w e,no so well like yes o oh say p. aer please vol alas yeah right i ah ii ing n nay ix um pp. e,"""SO is n t the rationality"" ""In (II), we also treat"" ""raising here are (A) how the identity"" ""But since (I) is only an index"" ""rather than, SAY, attention phenomena""","""Huck says,   NO  m"" ""SO the political can"" ""Shes WELL; she thanks My"" ""like x (and   LIKE x,   as we can"" ""YES,   un homme de""",deprel,discourse
deprel_nmod,0.13834317336842167,Nominal modifier,Nominal modifiers are 1.2x more common in Literature than Philosophy.,49.9,58.2,0.9,125508.0,46872.0,***,theory what knowledge belief world view properties them truth argument science question objects nature evidence beliefs logic theories it paper system states experience action cases,life history world what literature work language novel culture time text them it art writing century form experience power identity poetry knowledge nature society narrative,"""In a physical THEORY T of the kind considered"" ""our list of WHAT counts as reasonable"" ""sociologists of KNOWLEDGE concerns what we"" ""is a kind of BELIEF"" ""in the first WORLD is better than""","""of vAssaf  s LIFE and death will"" ""often including HISTORY, were combined"" ""place in the WORLD  ) with the particular"" ""a reading of WHAT was going on in"" ""of English LITERATURE""",deprel,nmod
deprel_vocative,0.1321506836289805,Vocative,Vocatives are 1.6x more common in Literature than Philosophy.,0.1,0.2,0.6,375.0,194.0,***,i t cf facie a q contra b peter sec fig vol l de al φ w pi tj s f p kant g qua,i t sir me mr. friend lord villagr none nurse chris trans susan h—l cul meaning fiona joanna vestigo fame!en charcoal jessie jacques stf motber,"""enemy... [I] f both divisions"" ""group case : [T] he proposed procedure"" ""CF. In conjunction"" ""Prima FACIE, we do not want"" ""Appendix A. It is a model""","""I. Of Generic Worlds"" ""written,   [T] he respect for"" ""SIR you may now perceyve"" ""there - before - ME it can allow itself"" ""complaining   Indeed, MR. Mercury, I can""",deprel,vocative
pos_VBP,0.1306249086584718,"Verb, non-3rd person singular present","Verb, non-3rd person singular presents are 1.7x more common in Philosophy than Literature.",23.2,14.0,1.7,58196.0,11308.0,***,are have do need am think take know believe want argue make seem say see use suggest call exist consider claim find show hold involve,are have do am know think need make want seem see find take suggest appear become call believe provide come say include mean live give,"""/ >v that ARE verifiable (or"" ""anger that we HAVE in response to"" ""notions that DO not coincide with"" ""the inference NEED not be viewed as"" ""First, if I AM right, then investigating""","""books to be read ARE selected by the"" ""alternative that we HAVE presented is"" ""surprisingly, DO not end with last"" ""AM I quite well"" ""objects that we KNOW will be there in""",pos,VBP
deprel_ccomp,0.13001579736721205,Clausal complement,Clausal complements are 2.2x more common in Philosophy than Literature.,10.9,5.1,2.2,27302.0,4068.0,***,is have has are true be know false do possible what make case one knows believe need wrong justified ought makes take exist requires part,have is had has made take what are do read one makes need become make was come found go seen be work see know remains,"""not think there IS anything simple"" ""indispensable we HAVE no choice but to"" ""our procedure HAS to cope with an"" ""agree that there ARE drugs (and emotions"" ""what he said is TRUE is, in some sense""","""their writings HAVE il locutionary"" ""that there IS indeed reenactment"" ""critics have HAD erroneous conceptions"" ""this world,   HAS its own particular"" ""life has been MADE available to the""",deprel,ccomp
pos_RB,0.1275372045167737,Adverb,Adverbs are 1.2x more common in Philosophy than Literature.,50.7,42.4,1.2,127302.0,34104.0,***,not so then only also even however just here thus rather now well n't as very still simply first therefore indeed perhaps too hence merely,not also so only even rather then however here as well thus now just too often indeed still never always very perhaps n't far instead,"""notions that do NOT coincide with the"" ""infant, I do SO while amusing myself"" ""L) is THEN the desired concrete"" ""adequately captured ONLY by a massively"" ""ALSO in the specific""","""debut but did NOT survive"" ""setting, it is ALSO the tremendous"" ""the novel ever SO slightly"" ""Munif as not ONLY a major Arab novelist"" ""perpetrator, EVEN if they are meant""",pos,RB
deprel_obl,0.12686681768744634,Oblique nominal,Oblique nominals are 1.1x more common in Literature than Philosophy.,44.7,48.7,0.9,112324.0,39208.0,***,which way case example terms sense fact cases what all view it time instance theory one context account respect point them hand world section that,which time way it fact terms him all what example sense form case them one world words end me moment hand point work context part,"""Lq(x) in WHICH quantum connectives"" ""purely formal WAY because QM can"" ""the specific CASE of standard QL"" ""For just one EXAMPLE, suppose that"" ""neutrality in TERMS of the common ground""","""the point at WHICH a program became"" ""institution for some TIME in the latter"" ""in them in a WAY that preclude"" ""ourselves towards IT, irrespective"" ""solely in the FACT that they give""",deprel,obl
deprel_acl,0.12668045943124615,Clausal modifier of noun (adnominal clause),Clausal modifier of noun (adnominal clause)s are 1.2x more common in Philosophy than Literature.,12.2,9.9,1.2,30545.0,7930.0,***,do have given believe having think involved involving used is associated made based thinking described make true discussed has considered know required believing using expressed,made do associated written based used produced given called involved reading make found thinking defined known published making read taken cited come say drawn described,"""rational thing to DO; such scenarios"" ""knowledge attributions HAVE more than one irreducible"" ""aims should be GIVEN as a conjunctive"" ""their peers to BELIEVE falsehoods for"" ""Greek sense of HAVING arete, when it""","""once a judgment MADE by a thinking person"" ""his sons to DO their duty to God"" ""framing habitually ASSOCIATED with the New Criticism"" ""last words, WRITTEN years before his"" ""street theater BASED on physical approval""",deprel,acl
pos_VB,0.11477251961441716,"Verb, base form","Verb, base forms are 1.5x more common in Philosophy than Literature.",39.7,26.8,1.5,99681.0,21582.0,***,be have say do see make let consider think take suppose know explain believe show argue seem give provide use understand note call assume mean,be have see make do say take think know come let find read understand speak seem give go become mean use suggest write appear get,"""but it can BE provided with a"" ""reason could we HAVE to rely on angers"" ""Why not SAY, as both Michael"" ""but this wo nt DO, as we also lack"" ""We can SEE this by running""","""themselves or BE eliminated; in"" ""victims would HAVE raised objections"" ""colonialism : SEE Palimpsestic Memory"" ""operationalize — to MAKE verifiably repeatable"" ""his sons to DO their duty to God""",pos,VB
pos_NFP,0.1113721066507935,Superfluous punctuation,Superfluous punctuations are 5.4x more common in Philosophy than Literature.,0.5,0.1,5.4,1236.0,73.0,***,* | { ~ · -> ^ > /? -* := _ ̄ /. \ ** >. - => =x *( = >( -< ¬,* | { [. ^ >. - :: > .t. _. β. >:: ::: _ ::'::::::: /. \ ©,"""G < / >(*), we call physical"" ""to equal P(| E), in parallel"" ""Axiom P { ext (S)   S G"" ""others satisfy   ~ < I > (x)"" ""Keywords Fallibilism · Infallibilism ·""","""X *"" ""joy extreme, | He sure must conquer"" ""impetus, hurls { rapii) all the"" ""Moll says :"" ""STf fS, ^ Rlb^   The earth""",pos,NFP
pos_-LRB-,0.09952143721382761,Left parenthesis,Left parenthesiss are 1.5x more common in Philosophy than Literature.,6.6,4.5,1.5,16538.0,3635.0,***,( [ < { -( a( φ( t( i( ~( ^ {< o( {( pr( y( '( c( ï( ~< ->( α( -*( ^( v(,( [ < { '. ... '( [.,"""are verifiable (or testable) according"" ""the face of [vor"" ""of sentences < / >v that are verifiable"" ""variable a : x G { x} I > a (x"" ""F -^ G ^ -(F A -G) F""","""literature, Elocution (sometimes called"" ""in which it [the village] takes"" ""Gallica (< gallica.bnf.fr"" ""fallen heroes { Le Cid and, respectively"" ""Gerard et Girodet  . Madame la Duchesse""",pos,-LRB-
deprel_goeswith,0.09632632947912574,Goes with,Goes withs are 2.9x more common in Philosophy than Literature.,0.0,0.0,2.9,9.0,1.0,,_,_,"""inconsistent subset of _ the proposition""",""": ::: : _ :: E g :""",deprel,goeswith
deprel_fixed,0.0918773663711123,Fixed multiword expression,Fixed multiword expressions are 1.3x more common in Philosophy than Literature.,4.5,3.5,1.3,11329.0,2856.0,***,to as than order least course of that well other another or on not case opposed if for with in alone upon between w s,as than well of to order course least that other if another opposed for on with or not between case against in like alone from,"""equivalent according TO T. Physical object"" ""oneself as well AS others"" ""detection rather THAN absolute"" ""In ORDER to bypass this"" ""should be able at LEAST in principle to""","""Poets   such AS Scott, Wordsworth"" ""aggregate rather THAN as distinct specialized"" ""ary Creole as WELL as strategies of"" ""mainly because OF the significance"" ""Prior TO that time, Literature""",deprel,fixed
pos_NNS,0.08705935118361079,"Noun, plural","Noun, plurals are 1.1x more common in Philosophy than Literature.",51.8,45.7,1.1,130138.0,36775.0,***,properties cases terms beliefs reasons things objects theories conditions states people ways others facts relations concepts propositions models agents claims arguments sentences parts words kinds,words people terms readers texts women forms others things ways men years works writers studies poems critics politics characters rights ideas lines languages events questions,"""formalizing the PROPERTIES of the notion of"" ""restricted range of CASES without thereby"" ""neutrality in TERMS of the common ground"" ""decisions and form BELIEFS in a way that is"" ""are very good REASONS to resist the shadow""","""sufficient last WORDS than the poet  s"" ""that   some PEOPLE die young in order"" ""between its two TERMS; and the preface"" ""perspectives of READERS and characters"" ""Notably, their TEXTS deal with works""",pos,NNS
deprel_nsubj,0.0816027710293563,Nominal subject,Nominal subjects are 1.2x more common in Philosophy than Literature.,69.9,59.5,1.2,175674.0,47858.0,***,we i that it they this one he which she you who what theory argument agent p a people account view things s reason fact,that he it i we they who which she this one you what people man work narrator all readers critics novel poem text language history,""">(*), WE call physical proposition"" ""i¡ / (x) I G { T, F) such"" ""some statements THAT are useful to compare"" ""could argue that IT recovers standard"" ""pluralism) because THEY formalize metalinguistic""","""United States THAT was in operation"" ""America, or what HE usefully calls"" ""curricula, as IT did at Washington"" ""following pages I will present three"" ""whether or not WE are personally""",deprel,nsubj
deprel_appos,0.08137809153039278,Appositional modifier,Appositional modifiers are 1.6x more common in Literature than Philosophy.,4.5,7.1,0.6,11228.0,5741.0,***,one a x p press press. b c t f i e those sect theory s something ed. m l what q set view property,one ed p. trans ed. univ. man history univ way what something form sense la those press world kind poet that language pp. vol fig,"""a suppressed ONE"" ""Sf I > ext (A) G ¿"" ""x) G i //(X), < x(x) is"" ""and a property P, oo and P determine"" ""MA : MIT PRESS""","""on Milton, ONE on   Later Poets"" ""Motherhood, ED"" ""Theatre, P. xxxviii"" ""Independence,   TRANS"" ""la poetique, ED. Since Pyrrhus has""",deprel,appos
deprel_nummod,0.0786404820774332,Numeric modifier,Numeric modifiers are 1.2x more common in Philosophy than Literature.,3.2,2.7,1.2,8096.0,2178.0,***,two one three four five ii zero ten iii v six thousand i seven eight k million e c x twenty iv nine forty hundred,two one three four five twenty six hundred ten thousand seven eight ii forty nine thirty fifty twelve fourteen fifteen e thirteen i iii iv,"""TWO disjoint sets of"" ""For just ONE example, suppose"" ""some of its THREE basic elements"" ""procedure consists of FOUR steps"" ""is a perfect FIVE - year - old me""","""The first TWO instructors taught"" ""are those of ONE kind of geographic"" ""course included THREE units, one on"" ""made of those FOUR biographies"" ""point that, FIVE years af ter our""",deprel,nummod
deprel_csubj,0.07863074798321362,Clausal subject,Clausal subjects are 2.1x more common in Philosophy than Literature.,2.8,1.3,2.1,6923.0,1054.0,***,see say have think having doing note believe is take do make knowing suppose taking seeing give know assume imagine find true show using consider,say see think have read find writing note make looking remember thinking reading know recognize seeing become making makes assume give consider live using acting,"""It is hard to SEE that this claim"" ""is natural to SAY that I do not see"" ""be helpful to HAVE a particular example"" ""astonishing to THINK that the constraints"" ""HAVING the phrase   shoo""","""not enough to SAY that poets follow"" ""not easy to SEE how a politics"" ""difficult to THINK of another writer"" ""Nor HAVE literary theorists"" ""suggestive to READ Monchoachi  s speech""",deprel,csubj
pos_MD,0.07831857990738075,Modal,Modals are 1.9x more common in Philosophy than Literature.,16.6,8.9,1.9,41609.0,7133.0,***,can will would may might should could must shall ought ca wo 'll ll cant 'd lets t need doth wed cannot d o wouldn,can would will may could might must should shall 'd ought ca 'll wo shalt cant didst hast thou doth wou ll ihall wilt wold,"""way, but it CAN be provided with"" ""The answer WILL be so context"" ""specifically, he WOULD observe that we"" ""however, one MAY wonder whether"" ""While anger MIGHT be a good epistemic""","""the topographies CAN be understood as"" ""American literature WOULD experience decades"" ""following pages I WILL present three detailed"" ""such a statement MAY be too totalizing"" ""territory who COULD pass the entrance""",pos,MD
deprel_nsubj:outer,0.06744739685651599,Outer clause nominal subject,Outer clause nominal subjects are 2.0x more common in Philosophy than Literature.,2.5,1.3,2.0,6381.0,1012.0,***,what it this point that problem way reason idea question aim claim one goal all view answer thing response difference conclusion explanation task which fact,it what that point this one which way problem question aim all thing reason purpose idea effect task claim answer difference issue we implication function,"""WHAT we have in mind"" ""us anything, IT is that any reflective"" ""THIS is to emphasize"" ""However, my POINT is not that there"" ""person - stages - THAT is to say, suppose""","""anxieties :   IT  s as if it were"" ""observed : Now, WHAT specifically defines"" ""to himself, THAT is to say the thesis"" ""My POINT is not that this"" ""THIS is not to take""",deprel,nsubj:outer
deprel_advcl:relcl,0.0643357019646682,Adverbial relative clause modifier,Adverbial relative clause modifiers are 1.6x more common in Philosophy than Literature.,1.0,0.6,1.6,2425.0,479.0,***,have think come has works is are true came holds used know ought understood work take makes use supposed make possible comes case understand thinks,came makes made work read provides became make takes had chooses knows end transformed is comes say worked understand took begins does laughed important expressed,"""decision to act can HAVE side - effects"" ""about how I THINK we should conceive"" ""story of how I COME to stand in relation"" ""persisting entity HAS different properties"" ""how something WORKS or operates — what""","""that  s how it CAME out"" ""paradoxically MAKES the mind intelligible"" ""that man was MADE like God before"" ""about how things WORK"" ""show us why we READ works of literature""",deprel,advcl:relcl
pos_CC,0.06140498232946623,Coordinating conjunction,Coordinating conjunctions are 1.3x more common in Literature than Philosophy.,26.5,35.1,0.8,66659.0,28266.0,***,and or but both either nor yet neither & plus n minus t/ ór ˗˗like }. a i( φ( ± xn <» and' c( cts.,and or but both yet nor either neither & plus n minus .leaft for albeit unor dis ver .eir,"""given theory T AND classical language"" ""verifiable (OR testable) according"" ""formal way, BUT it can be provided"" ""sentence has BOTH a truth value and"" ""evolutionary forces have EITHER pushed our angry""","""Drama, AND other affiliated"" ""a single area OR placed in separate"" ""curricular debut BUT did not survive"" ""suggested by BOTH poem and novel"" ""YET if Munif  s novel""",pos,CC
deprel_nmod:poss,0.06050220653871626,Possessive nominal modifier,Possessive nominal modifiers are 1.7x more common in Literature than Philosophy.,12.8,22.3,0.6,32193.0,17947.0,***,our their its his my her your one whose agent subject kant aristotle s god lewis person speaker leibniz quine russell hume frege carnap people,his its their her our my whose your one novel milton poet thy women man play shakespeare god narrator poem author king james eliot reader,"""is adopted, OUR derivation of standard"" ""human beings and THEIR emotions generally"" ""formal because ITS basic elements"" ""year George buys HIS wife Martha the"" ""of them, but MY hunch is that when""","""villagers for HIS eccentricities"" ""Literature offered ITS first specialized"" ""universities with THEIR secular research"" ""nineties, and like HER peers at Mount"" ""be based on OUR physical interaction""",deprel,nmod:poss
pos_WDT,0.056761745118005566,Wh-determiner,Wh-determiners are 1.1x more common in Philosophy than Literature.,9.7,8.7,1.1,24381.0,7019.0,***,that which what whatever whichever whereby –that,that which what whatever whichever whosoever whych whatsoever whereby whiche who,"""sentences < / >v THAT are verifiable"" ""according to T, on WHICH a weak complementation"" ""best gloss on WHAT anger fits, but"" ""Knowledge is   WHATEVER people take to"" ""shortcomings about WHICHEVER domain it is that""","""case studies THAT illustrate American"" ""permanent, by WHICH I mean that after"" ""give voice to WHAT ideology hides"" ""In WHATEVER form, literary"" ""had to read WHICHEVER section reached""",pos,WDT
deprel_case,0.055595016361820494,Case marking,Case markings are 1.2x more common in Literature than Philosophy.,103.9,121.7,0.8,261200.0,97980.0,***,of in to for on with as by 's from about at between into than like according over under through within against such without ',of in to 's for as with by on from at between into about like through than within against over after among under upon without,"""the set OF states in the physical"" ""set of states IN the physical proposition"" ""when referring TO states in the following"" ""T because, FOR every a (jc"" ""a depends ON T""","""changing culture OF higher education"" ""higher education IN the nineties"" ""and suited TO less rigorous academic"" ""faculty with Ph.D.  S and those without"" ""the institution FOR some time in the""",deprel,case
deprel_amod,0.0494663637882185,Adjectival modifier,Adjectival modifiers are 1.0x more common in Literature than Philosophy.,67.7,70.8,1.0,170019.0,57019.0,***,other such different same epistemic certain moral causal first particular many cognitive relevant possible new mental natural second physical own general scientific human logical good,other new literary own first such social human same political many different modern historical english early cultural great american particular critical very second french public,"""there are many OTHER emotional responsibility"" ""we factor in SUCH false beliefs about"" ""implies that DIFFERENT concrete logics"" ""wife Martha the SAME ugly carnations"" ""rely on angers EPISTEMIC tracking powers""","""s than did OTHER kinds of institutions"" ""The NEW Department of English"" ""story that the LITERARY works of Cavafy"" ""from among its OWN most favored graduates"" ""Literature offered its FIRST specialized classes""",deprel,amod
pos_NN,0.0461246129163532,"Noun, singular or mass","Noun, singular or masss are 1.0x more common in Literature than Philosophy.",151.2,153.4,1.0,379948.0,123527.0,***,case theory way knowledge belief view truth fact sense reason argument p example world account question problem time order evidence something point kind x relation,world time way life work history language self form sense text century novel literature man part power fact place point case order culture experience poem,"""the specific CASE of standard QL"" ""for a given THEORY T and classical"" ""purely formal WAY, but it can be"" ""genealogy of KNOWLEDGE should rule out"" ""that make your BELIEF forming capacities""","""differentiated WORLD of American education"" ""Prior to that TIME, Literature was"" ""also on his WAY to Warsaw"" ""language, whose LIFE experience and"" ""The WORK is developed through""",pos,NN
pos_UH,0.042421845218547,Interjection,Interjections are 1.0x more common in Literature than Philosophy.,0.7,0.7,1.0,1681.0,547.0,,say no like yes well viz h o w iii hi w- b- iv b m ing p- oh n- f- ß y m- alas,no well like yes oh o say please vol alas yeah ah ing aer iv nay ich ix welcome um ll yea hi dis je,"""rather than, SAY of a depth - of"" ""NO - one involved"" ""assumption that — LIKE sets — pluralities"" ""YES, credit - seeking"" ""Georges means - WELL gift giving would""","""Huck says,   NO  m"" ""Shes WELL; she thanks My"" ""like x (and   LIKE x,   as we can"" ""YES,   un homme de"" ""the scene :   OH, my Margaret —""",pos,UH
pos_JJ,0.02944606043373953,Adjective,Adjectives are 1.0x more common in Philosophy than Literature.,82.4,79.4,1.0,207013.0,63914.0,***,other such true different same possible particular first epistemic certain many causal moral relevant general good natural cognitive own second mental physical important rational false,other such own literary first new same social human many political different historical modern cultural particular early much english good great possible important real second,"""wall to the OTHER"" ""T, F) SUCH that vff (o L"" ""C - truth { TRUE with certainty"" ""one can obtain DIFFERENT concrete logics"" ""by running the SAME moves on this formulation""","""Drama, and OTHER affiliated fields"" ""showed up in SUCH curricula, as"" ""from among its OWN most favored graduates"" ""experience and LITERARY enterprise has"" ""The FIRST two instructors""",pos,JJ
deprel_aux:pass,0.026786463106237127,Passive auxiliary,Passive auxiliarys are 1.2x more common in Philosophy than Literature.,10.5,8.9,1.2,26338.0,7177.0,***,be is are been being was were am get 's gets 're re getting 'm s got m weve isnt r remain con poisson uni,is be are was been were being am gets get 's getting 're got re 'm m im aie canbe live tis remembering rec ar,"""however, it can BE extended to account"" ""new perspective IS adopted, our derivation"" ""States ARE defined as equivalence"" ""model has BEEN recently worked"" ""not in fact BEING violated""","""The work IS developed through"" ""The books to BE read are selected"" ""books to be read ARE selected by the"" ""Literature WAS grouped with History"" ""definitively - BEEN separated from""",deprel,aux:pass
deprel_csubj:pass,0.025730852125543675,Clausal passive subject,Clausal passive subjects are 2.2x more common in Philosophy than Literature.,0.1,0.0,2.2,227.0,33.0,***,have give explained provides meant directing exist able applying rejected presupposes result lies making accepting solved case followed involve represent derived follows taking stand believing,ahistorical used opening ornaments had visit done pricks employed taking threatened recover attack founded suffers influenced has knew remarkable played rewriting lies player inscribed underline,"""should already HAVE all future possibilities"" ""inference should GIVE some new information"" ""structure is not EXPLAINED by minimal externalism"" ""knowledge account, PROVIDES a natural explanation"" ""point neednt be MEANT as a necessary""","""only inherently AHISTORICAL, but also manifests"" ""cognates - are USED extensively as"" ""OPENING famously with the"" ""letters are the ORNAMENTS of society; yet"" ""way Dujardin HAD two major models""",deprel,csubj:pass
